,ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
1568,6562,6,26/5/2019,19:01,Bahia,Fluminense,4-1-4-1,4-1-4-1,R. Machado Marques,F. Diniz Silva,Bahia,Itaipava Arena Fonte Nova,3,2,BA,RJ,10.0,5.0,33%,303.0,75%,9.0,2.0,0.0,0.0,3.0,11.0,4.0,67%,603.0,90%,10.0,2.0,1.0,2.0,3.0
1569,6563,6,26/5/2019,19:01,Corinthians,Sao Paulo,4-1-4-1,4-2-3-1,F. Carille,A. Stival,Corinthians,Neo Química Arena,1,0,SP,SP,13.0,5.0,40%,296.0,75%,16.0,3.0,0.0,1.0,3.0,9.0,1.0,60%,438.0,78%,14.0,4.0,0.0,3.0,4.0
1570,6564,6,27/5/2019,20:01,CSA,Goias,4-2-3-1,4-2-3-1,M. Ribeiro Cabo,C. dos Santos Oliveira,CSA,Estádio Rei Pelé,1,0,AL,GO,16.0,4.0,44%,334.0,76%,19.0,3.0,0.0,1.0,3.0,15.0,5.0,56%,412.0,79%,10.0,1.0,0.0,0.0,9.0
1571,6565,6,27/5/2019,20:00,Avai,Ceara,4-3-3,4-4-2,E. Machado Souto,E. Alves Moreira,Ceara,  Ressacada,1,2,SC,CE,13.0,3.0,52%,417.0,70%,21.0,4.0,0.0,2.0,3.0,9.0,4.0,48%,399.0,72%,15.0,3.0,0.0,1.0,0.0
1572,6566,7,1/6/2019,16:01,Flamengo,Fortaleza,4-2-3-1,4-4-2,M. Salles,R. Ceni,Flamengo,Estádio Nilton Santos,2,0,RJ,CE,21.0,8.0,65%,652.0,92%,16.0,1.0,0.0,2.0,8.0,10.0,4.0,35%,343.0,86%,6.0,0.0,0.0,1.0,2.0
1573,6567,7,1/6/2019,19:01,Bahia,Gremio,4-3-3,4-2-3-1,R. Machado Marques,Renato Gaúcho,Bahia,Estádio de Pituaçu,1,0,BA,RS,14.0,4.0,42%,394.0,83%,8.0,1.0,0.0,0.0,10.0,7.0,2.0,58%,537.0,87%,10.0,2.0,0.0,5.0,4.0
1574,6568,7,2/6/2019,11:01,Botafogo-RJ,Vasco,4-1-4-1,4-1-4-1,E. de Souza Barroca,V. Luxemburgo da Silva,Botafogo-RJ,Estádio Nilton Santos,1,0,RJ,RJ,8.0,1.0,56%,469.0,84%,15.0,2.0,0.0,1.0,4.0,18.0,2.0,44%,362.0,81%,16.0,3.0,0.0,1.0,9.0
1575,6569,7,2/6/2019,16:03,Ceara,Santos,4-4-2,4-3-3,E. Alves Moreira,J. Sampaoli Moya,Santos,Arena Castelão,0,1,CE,SP,13.0,3.0,39%,301.0,72%,14.0,2.0,0.0,0.0,2.0,12.0,3.0,61%,470.0,82%,22.0,1.0,0.0,2.0,0.0
1576,6570,7,2/6/2019,16:40,Athletico-PR,Fluminense,4-2-3-1,4-3-3,T. Retzalff Nunes,F. Diniz Silva,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,RJ,16.0,6.0,56%,457.0,87%,20.0,1.0,0.0,1.0,6.0,9.0,2.0,44%,372.0,79%,17.0,3.0,1.0,0.0,4.0
1577,6571,7,2/6/2019,16:00,Sao Paulo,Cruzeiro,4-3-3,4-2-3-1,A. Stival,L. Venker de Menezes,-,Estádio Municipal Paulo Machado de Carvalho,1,1,SP,MG,13.0,4.0,40%,369.0,76%,15.0,2.0,1.0,0.0,5.0,14.0,4.0,60%,567.0,84%,12.0,3.0,0.0,4.0,9.0
1578,6572,7,2/6/2019,19:00,Atletico-MG,CSA,4-2-3-1,4-2-3-1,R. Marques Santana,M. Ribeiro Cabo,Atletico-MG,Estádio Raimundo Sampaio,4,0,MG,AL,27.0,7.0,72%,771.0,90%,2.0,0.0,0.0,2.0,11.0,12.0,0.0,28%,304.0,79%,11.0,3.0,0.0,0.0,2.0
1579,6573,7,2/6/2019,19:00,Chapecoense,Palmeiras,4-2-3-1,4-2-3-1,N. da Silveira Júnior,L. Scolari,Palmeiras,Arena Condá,1,2,SC,SP,18.0,4.0,55%,410.0,81%,14.0,2.0,0.0,1.0,3.0,14.0,6.0,45%,356.0,77%,21.0,5.0,0.0,0.0,5.0
1580,6574,7,2/6/2019,19:00,Internacional,Avai,4-2-3-1,4-3-3,O. Hellmann,E. Machado Souto,Internacional,Estádio José Pinheiro Borda,2,0,RS,SC,11.0,7.0,64%,682.0,87%,11.0,0.0,0.0,3.0,5.0,14.0,1.0,36%,382.0,78%,12.0,0.0,0.0,1.0,7.0
1581,6576,8,7/6/2019,20:30,Vasco,Internacional,4-3-3,4-3-3,V. Luxemburgo da Silva,O. Hellmann,Vasco,Estádio Vasco da Gama,2,1,RJ,RS,10.0,3.0,31%,288.0,73%,13.0,0.0,0.0,0.0,0.0,19.0,4.0,69%,635.0,88%,16.0,2.0,0.0,5.0,10.0
1582,6577,8,8/6/2019,16:30,Palmeiras,Athletico-PR,4-2-3-1,4-1-4-1,L. Scolari,T. Retzalff Nunes,Palmeiras,Allianz Parque,1,0,SP,PR,21.0,3.0,43%,304.0,77%,16.0,2.0,0.0,1.0,7.0,7.0,3.0,57%,406.0,82%,29.0,4.0,0.0,1.0,7.0
1583,6578,8,8/6/2019,19:00,Gremio,Fortaleza,4-2-3-1,4-2-3-1,Renato Gaúcho,R. Ceni,Gremio,Estádio Francisco Stédile (Centenário),1,0,RS,CE,12.0,4.0,66%,630.0,89%,7.0,1.0,0.0,3.0,10.0,5.0,2.0,34%,343.0,78%,7.0,4.0,1.0,0.0,1.0
1584,6579,8,8/6/2019,19:00,Cruzeiro,Corinthians,4-2-3-1,4-1-4-1,L. Venker de Menezes,F. Carille,-, Mineirão,0,0,MG,SP,25.0,7.0,45%,448.0,83%,12.0,1.0,0.0,2.0,11.0,5.0,1.0,55%,538.0,86%,13.0,1.0,0.0,1.0,5.0
1585,6580,8,8/6/2019,19:31,Ceara,Bahia,4-2-3-1,4-3-3,E. Alves Moreira,R. Machado Marques,-,Arena Castelão,0,0,CE,BA,22.0,5.0,63%,477.0,81%,12.0,2.0,0.0,1.0,9.0,9.0,1.0,37%,296.0,65%,10.0,2.0,0.0,3.0,1.0
1586,6581,8,8/6/2019,21:00,Avai,Sao Paulo,4-2-3-1,4-2-3-1,E. Machado Souto,A. Stival,-,  Ressacada,0,0,SC,SP,11.0,1.0,37%,302.0,65%,17.0,5.0,0.0,1.0,4.0,12.0,3.0,63%,513.0,80%,17.0,2.0,0.0,1.0,10.0
1587,6582,8,9/6/2019,19:01,CSA,Botafogo-RJ,4-2-3-1,4-1-4-1,M. Ribeiro Cabo,E. de Souza Barroca,Botafogo-RJ,Estádio Rei Pelé,1,2,AL,RJ,21.0,5.0,39%,328.0,84%,20.0,2.0,0.0,3.0,8.0,13.0,7.0,61%,520.0,89%,10.0,1.0,0.0,0.0,2.0
1588,6583,8,9/6/2019,19:00,Fluminense,Flamengo,4-2-3-1,4-2-3-1,F. Diniz Silva,M. Salles,-, Maracanã,0,0,RJ,RJ,18.0,6.0,64%,607.0,88%,14.0,2.0,0.0,1.0,5.0,11.0,2.0,36%,339.0,79%,17.0,3.0,0.0,0.0,2.0
1589,6584,8,9/6/2019,19:00,Santos,Atletico-MG,4-3-3,4-2-3-1,J. Sampaoli Moya,R. Marques Santana,Santos,Estádio Urbano Caldeira,3,1,SP,MG,24.0,5.0,59%,532.0,87%,12.0,1.0,0.0,0.0,4.0,12.0,4.0,41%,383.0,75%,14.0,2.0,0.0,1.0,5.0
1590,6585,8,10/6/2019,20:01,Goias,Chapecoense,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,N. da Silveira Júnior,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),3,1,GO,SC,17.0,7.0,51%,353.0,80%,14.0,2.0,0.0,0.0,6.0,12.0,2.0,49%,350.0,81%,17.0,0.0,1.0,0.0,6.0
